maneuver xVelocity yVelocity xAcceleration yAcceleration class distPred diffSpeedPred timeGapPred accPred classPred distFollo diffSpeedFollo timeGapFollo accFollo classFollo distPredAdj diffSpeedPredAdj timeGapPredAdj accPredAdj classPredAdj distFolloAdj diffSpeedFolloAdj timeGapFolloAdj accFolloAdj classFolloAdj
4 32.51 -0.54 0.23 -0.15 1 40.86 -3.74 1.26 0.19 1 128.25 -8.15 5.26 0.03 0 47.37 7.38 1.46 -0.03 1 282.78 -0.58 8.86 -0.06 1
4 31.58 -0.57 0.08 -0.21 1 33.99 -6.93 1.08 0.05 0 47.23 -0.23 1.51 -0.42 1 114.8 0 3.64 0 1 141.96 6.22 3.76 0.19 1
4 32.19 -0.51 0.7 -0.38 1 20.5 -1.47 0.64 -0.08 1 127.18 0 3.95 0 1 6.68 7.76 0.21 0.19 1 52.98 5.26 1.41 -0.33 1
4 24.27 -0.57 0.32 -0.45 1 29.68 -0.91 1.22 -0.08 1 41.48 2.13 1.57 -0.43 1 0.75 5.51 0.03 0.63 1 44.51 5.21 1.51 -0.17 1
4 25.01 -0.51 0.78 -0.37 1 13.17 -1.39 0.53 -0.01 1 42.41 2.03 1.57 -0.54 1 2.88 5.4 0.12 0.24 1 64.41 5.21 2.13 0.06 1
4 28.89 -0.44 0.26 -0.41 1 31.58 -4.04 1.09 -0.47 1 20.58 1.62 0.67 -0.19 1 -0.88 6.95 -0.03 -0.27 1 114.91 0 3.98 0 1
4 25.84 -0.31 0.41 -0.36 1 101.2 -4 3.92 0.1 1 46.97 1.63 1.71 -0.16 1 -0.11 6.15 0 0.11 1 31.32 4.35 1.04 0.01 1
4 29.01 -0.58 0.63 -0.15 1 43.66 -4.64 1.5 0.03 0 204.47 0.21 7 0.15 1 138.55 0 4.78 0 1 244.42 18.98 5.09 0.35 1
4 35.12 -0.26 0.03 -0.11 1 111.85 -7.77 3.18 -0.06 1 213.64 0 6.08 0 1 86.74 -5.51 2.47 -0.69 1 213.64 0 6.08 0 1
4 34.57 -0.5 0.38 -0.18 1 41.98 -4.09 1.21 0.25 1 232.71 0.14 6.7 -0.04 1 11.78 4.79 0.34 0.07 1 51.3 3.16 1.36 0.05 1
4 32.08 -0.62 0.48 -0.26 1 53.16 -8.63 1.66 0.03 0 128.57 0 4.01 0 1 278.57 0 8.68 0 1 128.57 0 4.01 0 1
4 33.17 -0.51 0.58 -0.26 1 54.45 -6.97 1.64 -0.13 0 30.72 0.27 0.92 0.19 0 -0.3 7.2 -0.01 -0.45 1 155.94 0 4.7 0 1
4 33.21 -0.54 0.25 -0.22 1 105.53 -10.74 3.18 -0.08 0 34.1 -1.14 1.06 0.13 1 33.56 12.44 1.01 -0.3 1 159.19 8.62 3.81 0.18 1
4 28.53 -0.51 0.02 -0.09 1 23.31 -3.18 0.82 -0.24 1 166.23 0.13 5.8 -0.05 1 2.94 2.37 0.1 -0.3 1 27.51 1.8 0.91 -0.17 1
4 33.31 -0.22 -0.49 -0.13 1 92.36 -5.05 2.77 0 1 113.36 -0.77 3.48 -0.03 1 5.7 0.9 0.17 -0.55 1 27.36 -1.26 0.85 0.09 1
4 31.33 -0.45 0.6 -0.12 1 15.96 -2.47 0.51 -0.09 1 47.89 -0.95 1.58 -0.16 0 31.2 9.01 1 0.09 1 57.49 6.72 1.51 -0.08 1
4 31.04 -0.64 0.22 -0.09 1 111.57 0 3.59 0 1 296.35 0 9.55 0 1 22.6 8.25 0.73 -0.48 1 296.35 0 9.55 0 1
4 33.01 -0.38 -0.26 -0.17 1 44.57 -8.88 1.35 -0.03 0 199.92 -8.89 8.29 -0.01 0 9.86 4.68 0.3 -0.15 1 96.8 5.28 2.53 -0.24 1
4 25.33 -0.59 0.79 -0.39 1 21.74 -1.99 0.86 0.05 0 82.23 -3.01 3.68 0.02 0 37.54 13.79 1.48 0.45 1 169.36 9.18 4.91 -0.05 1
4 34.23 -0.43 0.24 -0.28 1 54.03 -10.77 1.58 -0.18 1 196.54 -10.82 8.4 -0.02 0 8.65 4.94 0.25 0.05 1 50.62 3.4 1.35 0.01 1
4 26.45 -0.48 0.63 -0.32 1 13 -3.09 0.49 -0.12 1 40.2 -1.25 1.6 -0.04 1 13.11 8.14 0.5 -0.03 1 123.22 5.78 3.82 0.16 1
4 32.41 -0.33 -0.16 -0.07 1 68.5 -8.86 2.11 0 0 101.57 5.33 2.69 -0.15 1 9.61 1.34 0.3 0.21 1 21.94 1.87 0.64 -0.57 1
4 26.3 -0.19 0.35 -0.3 1 15.13 -1.34 0.58 0.16 1 145.73 0 5.54 0 1 55.74 11.26 2.12 -0.04 1 -3.72 10.23 -0.1 -0.23 1
4 29.97 -0.37 -0.05 -0.34 1 34.14 -6.63 1.14 0 1 121.35 0.42 3.99 -0.16 1 37.41 1.45 1.25 -0.03 1 123.87 4.06 3.64 -0.07 1
3 34.16 0.39 -0.28 0.47 1 58.12 0.47 1.7 0.24 1 13.6 0.08 0.4 0.35 1 204.71 -9.34 5.99 -0.04 0 1.02 -10.93 0.04 -0.01 0
3 37.01 0.48 0.02 0.31 1 102.8 5.17 2.78 0.4 1 43.37 -2.16 1.24 0.09 1 69.08 -3.54 1.87 0.04 1 44.76 -9.82 1.65 0.03 0
3 35 0.5 0.1 0.31 1 46.64 1.94 1.33 -0.07 1 48.63 0.46 1.37 0.35 1 115.29 -1.5 3.29 0.01 1 8.98 -7.79 0.33 -0.01 0
3 33.53 0.6 0.15 0.12 1 57.14 7.66 1.7 0.74 1 107.55 2.8 2.96 0.31 1 84.9 -0.23 2.53 -0.04 1 25.19 -10.21 1.08 0.04 0
3 40.33 0.72 -0.31 0.48 1 203.33 0 5.04 0 1 157.11 -0.76 3.97 0.5 1 80.74 0.84 2 -0.03 1 7.77 -5.02 0.22 0.14 1
3 33.78 0.51 0.01 0.38 1 210.18 0 6.22 0 1 29.1 -0.07 0.86 0.18 1 210.18 0 6.22 0 1 11.3 -6.05 0.41 -0.34 1
3 36.72 0.67 0.12 0.38 1 320.51 0 8.73 0 1 17.16 1.51 0.45 0.42 1 47.81 -1.26 1.3 0.16 1 -0.4 -12.61 -0.02 0.07 0
3 38.16 0.51 0.77 0.28 1 312.88 0 8.2 0 1 33.33 -3.84 0.97 0.49 1 312.88 0 8.2 0 1 1.34 -7.75 0.04 0.04 1
3 35.93 0.63 -0.23 0.41 1 115.6 2.21 3.22 0.5 1 33.81 1.19 0.91 -0.03 1 71.57 -2.19 1.99 0.01 1 3.12 -12.5 0.13 -0.05 0
3 34.3 0.5 0.1 0.35 1 74.61 2.54 2.18 0.26 1 24.6 0.88 0.7 0.67 1 70.42 -3.43 2.05 0.01 1 5.4 -9.47 0.22 0.06 0
3 31.08 0.39 0.05 0.45 1 122.55 1.08 3.94 0.07 1 59.43 -0.75 1.96 -0.26 1 121.29 -7.51 3.9 -0.08 0 -4.11 -9.74 -0.19 -0.04 0
3 31.63 0.57 0.17 0.28 1 34.65 3.28 1.1 0.38 1 23.83 0.57 0.74 0.27 1 103.03 0 3.26 0 1 17.07 -8.83 0.75 -0.09 0
3 26.93 0.41 0.06 0.2 1 290.45 0 10.79 0 1 100.94 11.87 2.6 0.22 1 124.8 7.61 4.63 0.02 1 16.05 -3.03 0.67 0.09 1
3 31.36 0.45 -0.17 0.41 1 302.12 0 9.63 0 1 46.53 1.46 1.42 0 1 169.23 -6.9 5.4 0.01 0 -2.55 -9.51 -0.12 0.05 0
3 33.7 0.48 0.02 0.35 1 55.96 3.87 1.66 0.42 1 54.35 -3.8 1.82 0 1 97.63 -1.5 2.9 -0.03 1 -0.51 -11.23 -0.02 -0.01 0
3 31.56 0.34 0.17 0.22 1 111.82 0 3.54 0 1 40.55 -0.24 1.29 0.2 1 82.38 3.16 2.61 0.05 1 6.64 -9.33 0.3 -0.03 0
3 28.73 0.11 -0.55 0.42 1 40.82 -0.16 1.42 -0.09 1 13.9 1.35 0.46 -0.91 1 47.47 -6.77 1.65 0.02 0 79.23 -4.27 3.24 -0.11 1
3 32.09 0.59 -0.28 0.19 1 140.42 0 4.38 0 1 56.65 0.35 1.75 -0.12 1 140.42 0 4.38 0 1 11.62 -8.85 0.5 -0.15 0
3 34.81 0.43 -0.21 0.39 1 299.59 0 8.61 0 1 35.72 0.22 1.02 -0.14 1 58.71 0.39 1.69 0.07 1 -6.2 -10.82 -0.26 0.08 0
3 40 0.44 0.12 0.42 1 257.44 0 6.44 0 1 25.5 -0.14 0.64 0.22 1 65.2 4.44 1.63 0.18 1 7.77 -9.25 0.25 -0.07 1
3 32.46 0.58 -0.17 0.24 1 21.48 0.37 0.66 -0.02 1 23.1 1.57 0.68 0 1 93.99 -1.37 2.9 -0.49 1 4.76 -10.26 0.21 -0.03 0
3 35.78 0.54 -0.05 0.22 1 135.52 0 3.79 0 1 162.67 -3.04 4.97 0.24 1 135.52 0 3.79 0 1 26.21 -10.99 1.06 -0.02 0
3 32.66 0.44 -0.3 0.4 1 42.67 3.04 1.31 0.36 1 37.86 0.45 1.14 -0.08 1 84.11 -0.63 2.58 0.09 1 -1.78 -10.55 -0.08 -0.07 0
3 37.83 0.54 -0.32 0.56 1 190.05 -3.89 5.02 0.17 1 16.04 1.48 0.41 0.23 1 188.4 -12.27 4.98 0.12 1 1.94 -14.27 0.08 0.13 0
3 36.35 0.6 0.08 0.27 1 140.98 0 3.88 0 1 174.13 10.93 3.68 -0.02 1 140.98 0 3.88 0 1 13.21 -12.34 0.55 0.03 0
3 37.94 0.42 0.08 0.34 1 208.79 0 5.5 0 1 41.33 -0.8 1.11 0.61 1 208.79 0 5.5 0 1 8.28 -15.19 0.36 0.06 0
3 34.91 0.6 -0.1 0.17 1 147.63 11.65 4.23 0.08 1 170.29 0 4.88 0 1 200.25 -10.82 5.74 0.05 0 15.66 -11.82 0.68 0.01 0
3 31.89 0.65 0.18 0.26 1 235.84 9.13 7.4 0.19 1 126.49 0 3.97 0 1 112.09 4.79 3.51 0.07 1 5.42 -8.95 0.24 0.08 0
3 33.29 0.67 0.19 0.4 1 121.78 0 3.66 0 1 285.34 0 8.57 0 1 121.78 0 3.66 0 1 9.97 -6.17 0.37 0.2 1
3 33.02 0.25 0.12 0.34 1 199.59 0 6.04 0 1 28.5 0.08 0.86 0.03 1 174.79 -1.19 5.29 0.05 1 14.29 -8.78 0.59 0.09 1
3 40.41 0.47 0.01 0.36 1 85.8 5.05 2.12 0.56 1 96.13 -2.64 2.55 -0.47 1 108.32 -1.87 2.68 -0.76 1 24.31 -11.64 0.84 -0.09 1
3 27.31 0.23 -0.08 0.46 1 146.39 0 5.36 0 1 51.98 6.35 1.54 -0.09 1 131.02 0.9 4.8 0.49 1 4.39 -4.15 0.19 0.01 0
3 33.04 0.64 -0.48 0.44 1 142.34 9.34 4.31 0.21 1 66.06 -0.97 2.06 -0.13 1 104.1 -1.16 3.15 -0.13 1 12.91 -8.7 0.53 -0.06 0
3 32.79 0.63 -0.1 0.35 1 46.44 0.49 1.42 -0.02 1 15.16 0.64 0.45 -0.48 1 136.17 -9.5 4.15 0.12 1 16.52 -7.8 0.66 0 0
3 41.96 0.39 0.16 0.35 1 171.15 0 4.08 0 1 34.03 -1.61 0.84 0.59 1 171.15 0 4.08 0 1 2.31 -6.68 0.07 0.15 1
3 35.68 0.41 0.24 0.19 1 188.38 0 5.28 0 1 73.94 6.69 1.75 0.15 1 182.79 -2.59 5.12 0.15 1 12.35 -5.7 0.41 0.09 1
3 32.17 0.49 -0.2 0.39 1 56.36 3.11 1.75 0.05 1 17.83 1.53 0.53 0.12 1 231.48 0 7.2 0 1 7.24 -7.64 0.3 -0.02 0
3 31.38 0.37 0.11 0.28 1 323.8 0 10.32 0 1 18.79 1.51 0.57 1 1 50.14 -1.81 1.6 0.08 1 9.66 -9.08 0.43 0.09 0
3 32.73 0.54 -0.3 0.14 1 283.73 0 8.67 0 1 62.7 2.53 1.78 0.19 1 143.12 -4.37 4.37 -0.05 1 18.44 -8.46 0.76 -0.03 0
3 28.65 0.58 0.05 0.26 1 312.53 0 10.91 0 1 38.5 2.55 1.23 0.38 1 33.98 -1.21 1.19 0.07 1 6.15 -5.41 0.26 0.06 0
3 40.99 0.64 -0.13 0.36 1 147.69 0 3.6 0 1 117.27 -2.94 3.08 -0.02 1 47.4 0.71 1.16 0.08 1 8.15 -9.17 0.26 0.11 1
3 32.7 0.47 -0.25 0.43 1 82.7 5.17 2.53 -0.01 1 21.66 2.38 0.62 -0.17 1 89.15 1.24 2.73 -0.01 1 11.55 -9.14 0.49 -0.03 0
2 35.69 0 0.17 0 1 176.24 5.16 4.94 0.3 1 25.79 -3.1 0.79 0.28 1 15.29 -12.48 0.43 0.17 0 -3.56 -10.62 -0.14 -0.29 1
2 42.72 -0.09 0.08 0 1 269.78 0 6.32 0 1 37.01 -0.22 0.87 0.4 1 22.53 -11.36 0.53 0.17 1 45.09 -6.73 1.25 0.16 1
2 43.4 0.01 -0.01 -0.06 1 35.81 -0.6 0.83 0.06 1 241.18 1.43 5.38 0.01 1 23.72 -12.07 0.55 -0.12 1 27.83 -6.92 0.76 0.07 1
2 33.8 -0.08 0.33 0.1 1 35.6 2.38 1.05 0.08 1 125.3 2.64 3.44 0.24 1 10.78 -10.74 0.32 -0.21 0 -4.16 -9.8 -0.17 -0.24 1
2 35.81 0.07 -0.7 0.1 1 80.62 -10.63 2.25 0.79 1 68.32 -0.08 1.91 -0.16 1 90.4 -13.53 2.52 -0.1 0 263.28 0.14 7.32 0.18 1
2 41.49 0.09 0.28 0 1 81.14 -0.62 1.96 0.3 1 90.31 -5.8 2.53 0.17 1 132.69 0 3.2 0 1 23.09 -18.22 0.99 -0.05 0
2 35.73 -0.06 -0.16 -0.11 1 68.32 0.08 1.91 -0.7 1 199.95 0 5.6 0 1 162.36 -13.45 4.54 -0.1 0 191.32 0.22 5.32 0.18 1
2 41.17 -0.09 0.09 0.02 1 119.25 0 2.9 0 1 284.01 -2 7.25 0.06 1 46.94 -8.82 1.14 0.07 1 103.1 -13.78 3.76 0.05 1
2 34.67 -0.24 0.02 0.09 1 68.59 -3.14 1.98 -0.07 1 50.38 -1.81 1.53 0.14 1 30.86 -10.1 0.89 -0.01 0 -3.67 -10.49 -0.15 0.08 1
2 33.19 0.05 0.03 0.03 1 57.98 1.13 1.75 -0.25 1 162.88 2.08 4.62 -0.33 1 6.69 -8.33 0.2 0.26 1 40.13 -1.83 1.28 0.22 1
2 33.34 -0.14 -0.51 0.05 1 107.22 -1.63 3.22 0.04 1 125.6 3.87 3.38 0.09 1 139.55 -8.31 4.19 -0.18 1 98.86 0.19 2.95 -0.26 1
2 37.46 -0.03 0.07 -0.09 1 116.85 -4.67 3.12 -0.08 1 35.2 -0.95 0.96 0.08 1 14.59 -4.7 0.39 -0.43 1 61.56 -12.26 2.44 -0.07 0
2 36.62 0.06 0.03 -0.03 1 38.13 0.74 1.04 -0.19 1 148.87 -2.33 4.34 0 1 39.05 -5.02 1.07 0.04 1 59.95 -11.53 2.39 -0.02 0
2 33.39 -0.11 -0.19 -0.06 1 164.25 3.8 4.92 0.2 1 35.62 1.97 1.01 -0.32 1 29.67 -8.37 0.89 0.02 0 163.56 -10.14 7.03 0.06 0
2 35.36 0 -0.32 -0.06 1 35.62 -1.97 1.01 -0.19 1 28.26 0.59 0.79 -0.13 1 69.94 -10.34 1.98 0.02 0 123.8 -12.11 5.32 0.06 0
2 35.95 0.02 -0.13 -0.01 1 28.26 -0.59 0.79 -0.32 1 43.85 0.01 1.22 0 1 102.34 -10.93 2.85 0.02 0 90.79 -12.7 3.9 0.06 0
2 35.96 0.04 0 0.01 1 43.85 -0.01 1.22 -0.13 1 33.41 -0.22 0.93 -0.16 1 150.94 -10.94 4.2 0.02 0 41.99 -12.71 1.81 0.06 0
2 35.7 -0.03 -0.15 -0.02 1 33.38 0.26 0.94 0.02 1 25.78 1.11 0.7 -0.29 1 186.68 -10.67 5.23 0.01 0 7.12 -12.43 0.31 0.07 0
2 36.13 -0.05 -0.58 0.02 1 24.31 -0.49 0.67 0.15 1 54.11 -2.08 1.59 0.11 1 198.33 -11.11 5.49 -0.03 0 -1.36 -12.82 -0.06 -0.03 0
2 39.93 0.07 0.13 -0.08 1 220.92 0 5.53 0 1 54.12 1.2 1.32 0.19 1 127.23 -16.09 3.19 0.07 0 180.86 -12.63 6.62 -0.07 1
2 33.51 -0.02 0.11 0 1 11.53 0.81 0.34 0.13 1 38.67 0.66 1.13 0.6 1 37.3 -10.26 1.11 -0.02 0 30.02 -10.99 1.33 0.01 0
2 41.13 0.16 0.19 0.07 1 54.12 -1.2 1.32 0.13 1 34.76 -0.59 0.86 0.45 1 186.1 -17.29 4.52 0.07 0 122.19 -13.83 4.48 -0.07 1
2 34.68 0.01 0.62 -0.06 1 38.05 -1.06 1.1 0.15 1 25.53 -1.15 0.76 0.35 1 71.88 -11.44 2.07 0 0 -4 -12.15 -0.18 -0.01 0
2 40.54 0 0.45 0.1 1 34.76 0.59 0.86 0.19 1 83.38 -7.5 2.52 0.18 1 225.41 -16.7 5.56 0.07 0 82.68 -13.24 3.03 -0.07 1
2 34.32 0.01 0.39 0.04 1 28.5 1.26 0.83 0.15 1 66.98 2.55 1.82 0.18 1 80.4 -11.08 2.34 -0.01 0 -10.5 -11.86 -0.47 0 0
2 34.56 0.01 0.44 -0.1 1 111.42 6.65 3.22 0.03 1 124.62 3.6 3.27 -0.13 1 276.66 -10.49 8.01 0.06 0 19.6 -7.11 0.71 0.1 1
2 37.76 -0.04 0.14 -0.02 1 58.16 -1.48 1.54 0.24 1 167.25 -4.57 5.04 0.29 1 -6.96 -15.21 -0.18 0 0 119.66 -4.56 3.6 0.43 1
2 37.99 0.04 -0.14 -0.03 1 119.82 -2.79 3.15 0.41 1 53.44 2.86 1.31 0.4 1 82.73 -10.4 2.18 0.07 1 21.09 -6.2 0.66 0.06 1
2 33.85 -0.02 0.16 0.03 1 178.67 4.3 5.28 0.17 1 79.67 -4.52 2.72 0.14 1 43.92 0.65 1.3 0.52 1 15.22 -9.17 0.62 -0.02 0
2 39.78 0.11 -0.07 -0.03 1 26.61 -2.77 0.67 -0.01 1 30.42 -7.44 0.94 0.02 1 38.63 -11.93 0.97 0.03 1 246.56 -10.05 8.29 0.08 1
2 29.54 -0.06 0.16 -0.01 1 85.58 4.44 2.9 0.06 1 33.33 -0.05 1.13 0.02 1 6.37 -4.83 0.22 0.04 1 25.87 -5.2 1.06 0.19 1
2 29.57 -0.02 0.05 0.06 1 33.77 0.24 1.14 0.16 1 16.79 -0.05 0.57 -0.03 1 36.6 -4.77 1.24 0.05 1 -3.96 -5.13 -0.16 -0.05 1
2 29.52 -0.02 0.06 -0.04 1 16.86 0.07 0.57 0.05 1 15.94 -0.55 0.55 -0.07 1 14.61 -5.12 0.49 -0.09 1 31.91 -5.28 1.32 0.12 0
2 28.97 0.17 -0.07 -0.11 1 15.94 0.55 0.55 0.06 1 14.52 -0.17 0.5 -0.04 1 35.2 -4.57 1.22 -0.09 1 11.32 -4.73 0.47 0.12 0
2 28.73 -0.07 -0.04 -0.02 1 14.59 0.17 0.51 0.01 1 33.06 1.84 1.08 0.2 1 48.91 -4.46 1.7 -0.11 1 -1.84 -4.37 -0.08 0.05 0
2 30.82 -0.12 0.16 -0.01 1 30.9 -1.99 1 0.25 1 32.15 1.38 1 0.06 1 17.68 -6.45 0.57 -0.02 0 1.33 -5.62 0.05 -0.17 1
2 32.16 0.05 -0.24 0 1 28.65 -1.11 0.89 0.09 1 85.54 2.93 2.44 -0.21 1 6.46 -7.56 0.2 -0.17 1 9.29 -6.74 0.37 -0.33 1
2 34.68 -0.06 -0.22 0.03 1 68.75 -3.38 1.98 -0.31 1 172.37 5.15 4.33 -0.21 1 20.39 -10.4 0.59 0.06 1 2.96 -3.93 0.1 -0.17 1
2 42.31 0.1 0.13 0.02 1 251.18 4.06 5.94 -0.5 1 115.56 3.68 2.51 0.47 1 46.97 -11.33 1.11 0.07 1 123.77 0 2.93 0 1
2 39.64 -0.11 -0.04 0.05 1 149.73 -9.09 3.78 -0.16 1 65.47 0.8 1.62 -0.27 1 40.3 -11.39 1.02 -0.03 1 28.48 -7.68 0.89 -0.41 1
2 47.13 -0.01 0.37 0.03 1 107.07 -4.61 2.27 0.07 1 48.86 -3.37 1.12 0.37 1 134.24 -15.97 2.85 0.07 1 95.17 -10.78 2.62 0.27 1
2 44.74 0.07 0.32 -0.07 1 57.49 1.71 1.28 -0.34 1 180.2 -5.71 4.62 0.29 1 146.99 -13.5 3.29 0.06 1 65.8 -7.73 1.78 0.15 1
2 39.93 -0.12 -0.45 -0.09 1 64.7 -0.43 1.62 -0.25 1 41.15 -0.37 1.04 0.16 1 18.42 -8.75 0.46 -0.44 1 61.27 -9.98 2.05 0.11 1
2 37.46 0.01 -0.79 0.03 1 32.76 -2.72 0.87 -1.2 1 184 -0.31 4.95 0.24 1 5.26 -8.12 0.14 -0.16 1 74.93 -7.04 2.46 0.05 1
2 39.89 0.08 0.51 0.06 1 241.9 5.57 6.06 -0.04 1 83.17 -4.13 2.33 0.5 1 -4.52 -6.77 -0.11 0.1 1 90.88 -12.93 3.37 0 0
2 37.39 -0.06 0.55 0.12 1 26.09 1.21 0.7 0.64 1 29.99 -1.06 0.83 0.1 1 13.62 -10.27 0.36 0.04 0 277.03 -3.26 8.12 -0.12 1
2 36.33 -0.17 0.1 -0.02 1 29.99 1.06 0.83 0.55 1 45.24 0.98 1.21 0.22 1 48.46 -9.21 1.33 0.04 0 242.49 -2.2 7.1 -0.12 1
2 48.66 0.14 0.11 -0.1 1 204.74 -11.53 4.21 -0.2 1 121.44 -15.27 3.64 0.15 1 192.7 -19.92 3.96 -0.05 1 48.49 -23.64 1.94 -0.01 0
2 37.31 -0.14 0.22 -0.17 1 45.24 -0.98 1.21 0.1 1 54.39 0.33 1.45 0.05 1 98.25 -10.19 2.63 0.04 0 193.41 -3.18 5.67 -0.12 1
2 33.59 -0.12 -0.03 0.03 1 199.38 14.77 5.94 -0.47 1 175.19 0 5.22 0 1 21.27 -8.64 0.63 -0.09 0 -4.18 -8.3 -0.17 -0.26 1
2 37.65 0.06 0.04 0.01 1 54.26 -0.26 1.44 0.22 1 147.14 3.14 3.61 0.28 1 152.66 -10.51 4.05 0.05 0 135.88 -3.56 3.99 -0.09 1
2 41.35 0.07 0.09 0.1 1 139.71 -3.4 3.38 0.14 1 89.03 -7.77 2.65 0.22 1 273.05 -14.1 6.6 0.08 0 -0.22 -7.38 -0.01 -0.02 1
2 36.88 0.01 0.89 0.02 1 144.27 4.58 3.91 0.06 1 29.2 -1.35 0.82 0.34 1 29.44 -3.09 0.8 -0.11 1 -9.17 -14.02 -0.4 0.06 0
2 36.42 0.07 0.55 0.05 1 35.19 3.45 0.97 1.11 1 21.38 -3.78 0.66 0.07 1 57.26 -3.13 1.57 -0.12 1 -9.6 -13.42 -0.42 0.05 0
2 44.38 -0.01 0.27 0.06 1 188.83 -3.88 4.25 0.3 1 195.16 4 4.03 0.3 1 82.75 -20.73 1.86 0.02 0 -2.84 -16.22 -0.1 0.06 1
2 39.67 -0.04 0.52 -0.07 1 157.31 0.6 3.97 -0.39 1 43.98 -1.28 1.15 0.28 1 25.07 -3.05 0.63 -0.07 1 5.62 -9.7 0.19 -0.11 1
2 39.4 0.01 0.38 0.06 1 51.22 1.39 1.3 -0.1 1 51.39 -0.27 1.31 0.13 1 63.8 -2.7 1.62 -0.05 1 -3.96 -9.62 -0.13 -0.07 1
2 49.07 0.05 0.53 0.06 1 189.06 -4.27 3.85 0.24 1 60.91 -9.3 1.53 0.17 1 161.43 -20.85 3.29 0 1 -10.25 -24.76 -0.42 0.06 0
2 39.36 0.22 0.08 0.02 1 54.46 1.65 1.38 0.52 1 207.93 -1.08 5.43 -0.02 1 18.28 -10.09 0.46 -0.14 1 169.57 -10.25 5.83 -0.06 1
2 40 -0.03 0.12 0.07 1 76.91 9.95 1.92 0.45 1 56.52 -1.15 1.45 0.2 1 28.18 -15.57 0.7 0.07 0 75.49 -3.46 2.07 0.01 1
2 33.52 -0.01 0.06 -0.07 1 29.11 0.03 0.87 0.09 1 23.78 0.41 0.7 0 1 33.46 -4.67 1 0.01 1 -3.12 -4 -0.11 -0.07 1
2 33.86 -0.04 -0.15 0.01 1 23.24 -0.21 0.69 0.1 1 51.51 2.46 1.42 0.06 1 14.18 -4.58 0.42 -0.13 1 17.2 -3.8 0.57 0.03 1
2 38.62 0.06 0.52 0.08 1 15.87 -1.81 0.41 0.09 1 36.88 -0.86 0.98 0.55 1 67.47 -3.02 1.75 0.13 1 -9.99 -14.45 -0.41 0.08 0
2 38.2 -0.15 0.7 0 1 37.49 0.81 0.98 0.55 1 78.94 -5.66 2.43 0.39 1 20.89 -13.97 0.55 0.08 0 61.81 -12.08 2.37 -0.19 1
2 35.1 -0.08 -0.26 0.08 1 40.26 -0.38 1.15 0.97 1 182.41 -2.55 5.6 -0.42 1 -3.44 -6.69 -0.1 -0.4 1 24.38 -2.85 0.76 0.04 1
2 33.45 -0.03 0.35 0 1 92.48 6.57 2.76 0.73 1 29.4 0.18 0.87 -0.02 1 -4.96 -7.93 -0.15 -0.22 1 67.79 -1.79 2.14 -0.22 1
2 33.63 0.04 -0.02 -0.04 1 29.4 -0.18 0.87 0.35 1 20.21 1.4 0.58 -0.36 1 28.58 -8.11 0.85 -0.22 1 34.04 -1.97 1.08 -0.22 1
2 34.76 -0.06 0.3 0.07 1 18.58 -0.25 0.53 -0.11 1 25.95 -1.82 0.79 0.53 1 80.66 -10.21 2.32 0.03 0 -5.61 -9.91 -0.23 -0.07 1
